loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
56521.8046875,225.4525604248047,237.7420196533203,38860.80078125,185.4372100830078,197.1278839111328,0.004999999888241291
16681.73046875,110.0293197631836,129.14659118652344,3031.261962890625,44.38253402709961,55.01706314086914,0.004999999888241291
5088.95263671875,56.03572082519531,71.29850006103516,3066.129638671875,44.52773666381836,55.312232971191406,0.004999999888241291
8214.2236328125,73.60755157470703,90.5830078125,6372.31884765625,68.70236206054688,79.74803924560547,0.004999999888241291
10072.375,85.30067443847656,100.27167510986328,5629.73828125,64.72684478759766,74.87313842773438,0.004999999888241291
7092.38525390625,70.04912567138672,84.04161071777344,4649.447265625,57.13579559326172,67.92733764648438,0.004999999888241291
4728.134765625,55.73517990112305,68.46125030517578,2628.606689453125,40.94695281982422,50.814964294433594,0.004999999888241291
2859.2255859375,42.22148132324219,52.99823760986328,1906.22412109375,34.29768371582031,43.04233169555664,0.004999999888241291
2166.14794921875,36.506107330322266,45.939449310302734,1643.38134765625,31.834413528442383,39.83164978027344,0.004999999888241291
2223.9912109375,36.64609909057617,46.552398681640625,1730.84814453125,32.724788665771484,40.91142272949219,0.004999999888241291
1839.30029296875,33.847328186035156,42.21267318725586,1890.042236328125,34.05149459838867,42.80587387084961,0.004999999888241291
1833.4974365234375,33.76087188720703,42.13746643066406,2131.33154296875,36.19009017944336,45.532100677490234,0.004999999888241291
1902.1533203125,34.32516860961914,42.9391975402832,2408.86083984375,38.520748138427734,48.4796142578125,0.004999999888241291
1927.9969482421875,34.61211013793945,43.23402404785156,1672.216796875,32.106746673583984,40.16436004638672,0.004999999888241291
1935.3870849609375,34.64870071411133,43.31352233886719,2323.0908203125,37.82907485961914,47.576194763183594,0.004999999888241291
1944.472900390625,34.73359298706055,43.41148376464844,2645.3525390625,40.48151397705078,50.84424591064453,0.004999999888241291
1934.95556640625,34.61613845825195,43.29473114013672,2257.86669921875,37.314395904541016,46.872493743896484,0.004999999888241291
1964.5697021484375,34.85042953491211,43.62752914428711,1776.77880859375,33.065364837646484,41.41522979736328,0.004999999888241291
1968.4522705078125,34.852149963378906,43.6637077331543,2026.019287109375,35.32438659667969,44.3134765625,0.004999999888241291
1731.134765625,32.77727508544922,40.84834289550781,1697.5208740234375,32.525978088378906,40.43222427368164,0.0024999999441206455
1743.839111328125,32.873958587646484,40.99755096435547,1687.3345947265625,32.425193786621094,40.2994270324707,0.0024999999441206455
1831.5677490234375,33.65794372558594,42.04698944091797,1741.857177734375,32.98391342163086,40.96267318725586,0.0024999999441206455
1842.832275390625,33.762264251708984,42.17264175415039,1735.8828125,32.870731353759766,40.880714416503906,0.0024999999441206455
1847.019287109375,33.765296936035156,42.21259689331055,1676.4552001953125,32.306175231933594,40.1359748840332,0.0024999999441206455
1863.4642333984375,33.888832092285156,42.39500045776367,1799.95166015625,33.437198638916016,41.63256072998047,0.0024999999441206455
1890.055908203125,34.08317565917969,42.693180084228516,1655.6397705078125,32.0671272277832,39.84560012817383,0.0024999999441206455
1857.84912109375,33.785030364990234,42.29875564575195,1691.58154296875,32.31546401977539,40.277015686035156,0.0024999999441206455
1842.7142333984375,33.61418914794922,42.10262680053711,1816.26953125,33.42129898071289,41.778865814208984,0.0024999999441206455
1835.4744873046875,33.585208892822266,41.99862289428711,2027.3802490234375,35.34729766845703,44.21602249145508,0.0024999999441206455
1729.5167236328125,32.661373138427734,40.703495025634766,1849.096923828125,33.74753952026367,42.14208221435547,0.0012499999720603228
1706.9720458984375,32.483951568603516,40.41484451293945,1766.795166015625,32.998023986816406,41.14284896850586,0.0012499999720603228
1732.515380859375,32.694091796875,40.71820831298828,1718.52197265625,32.572235107421875,40.540367126464844,0.0012499999720603228
1741.3851318359375,32.771995544433594,40.81504440307617,1674.8876953125,32.13331985473633,39.98603439331055,0.0012499999720603228
1754.0589599609375,32.87174987792969,40.957393646240234,1674.094970703125,32.10771560668945,39.96271896362305,0.0012499999720603228
1785.2969970703125,33.131900787353516,41.32379150390625,1709.84521484375,32.50483322143555,40.394100189208984,0.0012499999720603228
1776.847412109375,33.011722564697266,41.20844650268555,1821.670166015625,33.56403732299805,41.74262237548828,0.0012499999720603228
1800.147705078125,33.24005889892578,41.4775505065918,1771.287109375,33.070133209228516,41.12229919433594,0.0012499999720603228
1804.00537109375,33.29352951049805,41.511512756347656,1672.5316162109375,32.09685134887695,39.889869689941406,0.0012499999720603228
1783.4005126953125,33.07752227783203,41.249534606933594,1711.3468017578125,32.48008728027344,40.360443115234375,0.0012499999720603228
