feature_name
cole_area_ubicacion
cole_bilingue
cole_naturaleza
estu_genero
fami_cuartoshogar
fami_educacionmadre
fami_educacionpadre
fami_estratovivienda
fami_personashogar
fami_tienecomputador
fami_tieneinternet
fami_tienelavadora
cole_jornada_2
cole_jornada_3
cole_jornada_4
cole_jornada_5
cole_jornada_6
